Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
71,1/5/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.2,17.9,100,199
71,1/12/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,26.7,28.7,99,219
71,1/19/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.2,17.4,162,285
71,1/22/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.4,19.3,217,320
71,1/29/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.1,16.7,172,230
71,2/16/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9,14,80,181
71,2/19/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.7,21.1,182,310
71,2/23/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.2,20.4,166,296
71,2/26/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.3,21.9,179,307
71,3/16/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.1,23.7,142,255
71,3/19/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.5,20,122,227
71,3/23/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.6,18.9,126,227
71,3/26/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.1,19,110,216
71,3/30/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.7,17.7,79,205
71,4/13/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.7,21.2,106,232
71,4/16/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.4,17.7,95,277
71,4/20/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.3,20.1,97,254
71,5/14/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.3,20.6,99,209
71,5/18/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.6,25,93,196
71,5/21/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.1,22.9,62,208
71,5/25/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.2,18.2,94,209
71,5/28/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.9,21.1,80,165
71,6/15/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.2,23.3,65,156
71,6/18/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.2,22.8,58,150
71,6/22/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,17,24.5,43,118
71,6/25/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.2,25.1,75,164
71,6/29/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,17.5,24.8,77,164
71,7/13/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.7,23.7,67,167
71,7/16/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,17.4,23.2,52,169
71,7/20/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.9,26.7,56,149
71,7/23/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,16.9,26.6,65,142
71,7/27/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.6,20.7,78,192
71,7/30/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.1,23.3,60,141
71,8/17/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.5,17.5,57,153
71,8/20/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.4,21.2,65,220
71,8/24/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.2,21.4,65,156
71,8/27/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.2,21.8,61,155
71,8/31/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.8,20.8,44,139
71,1/13/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14,23.2,47,124
71,1/20/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.4,21.2,52,179
71,1/22/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15,22.2,49,155
71,2/17/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.4,21.4,54,145
71,2/19/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.4,23.5,39,90
71,2/24/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.6,11.7,60,141
71,2/26/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.2,12.1,51,120
71,3/17/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.4,14.7,37,106
71,3/19/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.4,16.6,34,118
71,3/24/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.2,18.7,36,98
71,3/28/2009,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.4,15,40,154
