Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
764,2013-01-07,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,15,60,NA
764,2013-01-10,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,27,76,NA
764,2013-01-17,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,24,76,NA
764,2013-01-21,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,13,55,NA
764,2013-01-23,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,10,78,NA
764,2013-01-28,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,14,57,NA
764,2013-01-30,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7,18,59,NA
764,2013-02-01,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,15,54,NA
764,2013-02-05,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7,18,52,NA
764,2013-02-07,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,17,53,NA
764,2013-02-11,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7,21,75,NA
764,2013-02-13,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,10,45,NA
764,2013-02-15,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,32,42,NA
764,2013-02-19,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,25,41,NA
764,2013-02-21,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,39,51,NA
764,2013-02-25,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,15,45,NA
764,2013-02-27,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7,13,50,NA
