Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
764,2013-03-01,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",17,33,73,NA
764,2013-03-03,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,16,59,NA
764,2013-03-07,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,23,29,NA
764,2013-03-11,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,29,41,NA
764,2013-03-13,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,31,50,NA
764,2013-03-15,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,10,61,NA
764,2013-03-19,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,26,40,NA
764,2013-03-21,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,22,30,NA
764,2013-03-25,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,17,26,NA
764,2013-04-01,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,27,35,NA
764,2013-04-03,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,23,32,NA
764,2013-04-05,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,28,44,NA
764,2013-04-09,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,30,32,NA
764,2013-04-12,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,22,19,NA
764,2013-04-16,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,13,49,NA
764,2013-04-18,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,18,48,NA
764,2013-04-22,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,15,40,NA
764,2013-04-25,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,9,41,NA
764,2013-04-29,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,21,68,NA
764,2013-05-02,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,13,17,NA
764,2013-05-06,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,25,59,NA
764,2013-05-08,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,22,26,NA
764,2013-05-10,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,17,116,NA
764,2013-05-14,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,23,45,NA
764,2013-05-16,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,24,77,NA
764,2013-05-20,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,27,40,NA
764,2013-05-22,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,24,55,NA
764,2013-05-24,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,25,35,NA
764,2013-05-28,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,22,29,NA
764,2013-05-30,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,31,54,NA
764,2013-06-03,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,24,55,NA
764,2013-06-05,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,38,31,NA
764,2013-06-07,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,28,48,NA
764,2013-06-11,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,29,21,NA
764,2013-06-13,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,23,85,NA
764,2013-06-17,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,37,46,NA
764,2013-06-19,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,44,29,NA
764,2013-06-21,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,40,71,NA
764,2013-06-27,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,33,56,NA
764,2013-07-01,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,32,77,NA
764,2013-07-03,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,30,119,NA
764,2013-07-05,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,30,60,NA
764,2013-07-09,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,38,37,NA
764,2013-07-11,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,24,32,NA
764,2013-07-15,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,26,35,NA
764,2013-07-17,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,30,35,NA
764,2013-07-19,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",17,36,37,NA
764,2013-07-23,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,37,31,NA
764,2013-07-25,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,28,63,NA
764,2013-07-29,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",15,19,40,NA
764,2013-07-31,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,15,34,NA
764,2013-08-02,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,22,30,NA
764,2013-08-06,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,16,44,NA
764,2013-08-08,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,14,45,NA
764,2013-08-13,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,14,56,NA
764,2013-08-16,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,24,42,NA
764,2013-08-20,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,12,40,NA
764,2013-08-22,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,16,45,NA
764,2013-08-26,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,13,62,NA
764,2013-09-02,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,15,47,NA
764,2013-09-04,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,11,24,NA
764,2013-09-06,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,13,38,NA
764,2013-09-13,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,13,40,NA
764,2013-09-17,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,25,67,NA
764,2013-09-19,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,18,51,NA
764,2013-09-23,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,15,46,NA
764,2013-09-25,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,19,68,NA
764,2013-09-27,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,19,40,NA
764,2013-10-01,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,21,80,NA
764,2013-10-04,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,12,36,NA
764,2013-10-08,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,19,36,NA
764,2013-10-15,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,16,54,NA
764,2013-10-18,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,17,33,NA
764,2013-10-23,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,16,49,NA
764,2013-10-25,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,16,54,NA
764,2013-10-31,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,13,58,NA
764,2013-11-04,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,14,50,NA
764,2013-11-06,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,17,84,NA
764,2013-11-08,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,19,45,NA
764,2013-11-12,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,16,63,NA
764,2013-11-14,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,17,80,NA
764,2013-11-19,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,20,100,NA
764,2013-11-21,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,22,72,NA
764,2013-11-25,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,14,40,NA
764,2013-11-27,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,15,66,NA
764,2013-11-29,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,20,88,NA
764,2013-12-05,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,19,83,NA
764,2013-12-09,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,14,71,NA
764,2013-12-11,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,19,94,NA
764,2013-12-13,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,20,66,NA
764,2013-12-17,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",19,23,65,NA
764,2013-12-19,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,21,54,NA
764,2013-12-23,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,19,26,NA
764,2013-12-26,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",18,23,70,NA
764,2013-12-30,Tamil Nadu,Chennai,"Adyar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",17,19,40,NA
765,2013-01-18,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,43,96,NA
765,2013-01-22,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7,18,94,NA
765,2013-01-24,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,28,148,NA
765,2013-01-29,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,43,146,NA
765,2013-01-31,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,37,172,NA
765,2013-02-04,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,41,115,NA
765,2013-02-06,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,30,125,NA
765,2013-02-08,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,31,92,NA
765,2013-02-12,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,28,144,NA
765,2013-02-14,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,16,86,NA
765,2013-02-18,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,27,95,NA
765,2013-02-20,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,43,117,NA
765,2013-02-22,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7,22,90,NA
765,2013-02-26,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,44,120,NA
765,2013-02-28,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",20,22,211,NA
765,2013-03-06,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,23,203,NA
765,2013-03-08,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,38,174,NA
765,2013-03-12,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,11,176,NA
765,2013-03-14,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,35,NA,NA
765,2013-03-18,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7,36,135,NA
765,2013-03-20,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,30,135,NA
765,2013-03-22,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5,28,111,NA
765,2013-03-26,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,25,119,NA
765,2013-03-27,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,33,114,NA
765,2013-03-28,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4,20,75,NA
765,2013-04-02,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,19,121,NA
765,2013-04-04,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,20,78,NA
765,2013-04-08,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,15,94,NA
765,2013-04-10,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,26,144,NA
765,2013-04-15,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,27,NA,NA
765,2013-04-17,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,24,141,NA
765,2013-04-19,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",8,18,97,NA
765,2013-04-23,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,25,72,NA
765,2013-04-26,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,22,145,NA
765,2013-04-30,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6,19,137,NA
765,2013-05-03,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,26,171,NA
765,2013-05-07,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,28,211,NA
765,2013-05-09,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,22,191,NA
765,2013-05-15,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,24,193,NA
765,2013-05-17,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,28,175,NA
765,2013-05-20,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,24,79,NA
765,2013-05-23,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,28,124,NA
765,2013-05-27,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,24,182,NA
765,2013-05-31,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,32,94,NA
765,2013-06-04,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,11,146,NA
765,2013-06-06,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,16,90,NA
765,2013-06-10,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,25,111,NA
765,2013-06-14,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",12,32,136,NA
765,2013-06-18,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,41,111,NA
765,2013-06-20,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,29,93,NA
765,2013-06-24,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,28,176,NA
765,2013-06-26,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,30,137,NA
765,2013-06-28,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",15,22,119,NA
765,2013-07-02,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,17,131,NA
765,2013-07-04,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,30,142,NA
765,2013-07-08,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,32,119,NA
765,2013-07-10,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,38,93,NA
765,2013-07-12,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,29,155,NA
765,2013-07-16,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",13,33,168,NA
765,2013-07-18,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,29,161,NA
765,2013-07-22,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",15,59,165,NA
765,2013-07-24,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,56,347,NA
765,2013-07-26,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,34,166,NA
765,2013-07-30,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,35,108,NA
765,2013-08-01,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",14,30,182,NA
765,2013-08-05,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,21,59,NA
765,2013-08-07,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",17,26,88,NA
765,2013-08-12,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",11,27,71,NA
765,2013-08-19,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,32,133,NA
765,2013-08-21,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",10,17,111,NA
765,2013-08-23,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",15,18,89,NA
765,2013-08-27,Tamil Nadu,Chennai,"Anna Nagar, Chennai",Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",9,17,87,NA
