Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
71,6/2/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,22.9,49.7,56,225
71,6/6/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.3,29.1,75,222
71,6/9/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,18,27.3,53,78
71,6/13/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.6,26.6,188,389
71,6/16/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,21.9,21.3,78,173
71,6/20/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,19.6,21.6,50,196
71,6/23/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.2,27.6,68,196
71,6/27/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,24.1,41.6,117,283
71,6/30/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,16.7,43.6,104,194
71,9/15/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,17.5,38.6,82,201
71,9/19/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.7,20.8,72,111
71,9/22/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.8,27.4,75,117
71,9/26/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.3,18.1,93,120
71,9/29/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.8,18.4,74,128
71,10/13/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.8,18.8,59,143
71,10/17/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.3,14.4,77,176
71,10/20/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.3,18.1,58,114
71,10/24/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.7,20.3,112,153
71,10/31/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.9,15.4,63,112
71,11/14/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.7,27.2,53,79
71,11/17/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,12.8,28.4,63,92
71,11/21/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.3,28.3,117,167
71,11/24/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.1,23,68,113
71,11/28/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.8,26.8,66,111
71,12/22/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.3,10.8,108,133
71,12/26/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.3,14.9,40,71
71,12/29/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.2,18.7,62,93
71,6/14/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.9,14.9,46,69
71,6/16/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.9,12.2,72,123
71,6/21/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.6,11.8,107,187
71,6/23/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.8,15.9,70,128
71,6/28/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.4,27.3,66,101
71,6/30/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.5,14.6,94,166
71,9/13/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.4,33.8,79,136
71,9/15/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9,31.7,98,142
71,9/20/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.7,33.1,84,143
71,9/22/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,NA,NA,130,211
71,9/27/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,11.1,23.1,76,193
71,9/29/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.2,23.6,103,222
71,10/13/2005,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,15.6,19.2,84,175
38,10/18/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,16.9,39.9,86,250
38,10/20/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,12.8,24.2,96,237
38,10/25/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,13.8,20.9,74,144
38,11/15/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,11.6,16.4,77,147
38,11/17/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,20.5,20.8,71,218
38,11/22/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,22,21.2,84,321
38,11/24/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,7.8,14.1,47,169
38,11/29/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9.5,26.4,54,148
38,12/13/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,10.4,28.5,62,177
38,12/15/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,18,24.5,46,86
38,12/20/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,12.8,17.5,80,126
38,12/22/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,10.3,23.4,51,242
38,12/27/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,8.5,15.4,67,88
38,12/29/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,13.7,20.7,87,159
38,1/17/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,12.7,26.6,63,124
38,1/19/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,10.2,19.1,112,235
38,1/24/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,6.8,18.3,50,111
38,1/27/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,8,22.5,85,163
38,2/14/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,11.7,26.7,63,88
38,2/17/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,14.7,26.6,103,171
38,2/21/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,12.7,25,81,135
38,2/23/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,11.6,17.9,58,102
38,3/14/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9,27.2,101,230
38,3/17/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,8.6,16.2,94,146
38,3/21/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9.7,24.2,57,105
38,3/23/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,13.4,19.2,55,88
38,3/30/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,13.6,21.7,39,110
38,4/18/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,12.2,18.9,38,87
38,4/20/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,11.4,14.2,82,199
38,4/25/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9.9,21.8,97,179
38,4/27/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,13.2,18,22,42
38,4/29/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,5.9,16.7,29,47
38,5/17/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,4,16.3,100,358
38,5/19/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9.5,25.3,87,241
38,5/24/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,7.7,20.9,68,104
38,5/26/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,12.4,22.8,75,143
38,5/30/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,7.7,21.8,101,138
38,6/13/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,7.8,22.3,68,111
38,6/15/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9.2,21.5,57,88
38,6/16/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,9.2,23.9,76,127
38,6/17/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,10.1,25.8,73,199
38,6/20/2005,Tamil Nadu,Chennai,Kathivakkam,Industrial Areas,25,23.1,77,146
72,6/22/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,9.6,10.7,39,164
72,6/23/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,9.5,7.9,49,146
72,6/24/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,7.3,18.4,83,212
72,6/27/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,11.8,12.1,155,323
72,6/29/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,7.8,11.7,56,234
72,9/13/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,6.7,6.1,31,144
72,9/14/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,8.3,14.1,27,118
72,9/15/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,11.8,11,41,166
72,9/16/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,9.8,7.3,45,118
72,9/19/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,3.7,14.1,40,138
72,9/21/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,5.3,10.6,57,174
72,9/22/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,8.4,9.3,74,231
72,9/23/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,6.7,12.9,71,242
72,9/26/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,7.2,8.7,48,147
72,9/28/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,9.1,6.8,77,213
72,9/29/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,9.9,7.4,41,109
72,9/30/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,3,9.7,25,58
72,10/14/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,2.8,5.3,51,149
72,10/17/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,7,55,152
72,10/19/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,2.4,NA,45,169
72,10/19/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,26,84
72,10/21/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,8.8,71,165
72,10/21/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,11.6,65,175
72,10/24/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,80,245
72,10/26/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,2.5,NA,47,200
72,10/28/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,38,95
72,11/16/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,5.4,47,112
72,11/16/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,6.3,73,291
72,11/18/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,87,225
72,11/18/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,2.8,NA,66,167
72,11/21/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,58,153
72,11/23/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,6.6,41,108
72,11/23/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,6.6,100,257
72,11/25/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,77,204
72,11/25/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,84,196
72,11/28/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,65,172
72,11/30/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,74,196
72,12/14/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,3.2,9.2,91,208
72,12/14/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,NA,75,170
72,12/16/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,17.4,40.9,57,151
72,12/21/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,7.7,67,197
72,12/22/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,20,41,63,169
72,12/23/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,5.7,42,117
72,12/26/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,13.8,13.9,66,123
72,12/28/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,5.4,5.3,65,170
72,12/29/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,16.1,21.8,107,292
72,12/30/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,3,10.3,63,170
72,1/17/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,14.6,14.6,77,141
72,1/19/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,NA,13.5,49,122
72,1/24/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,22,15.5,67,165
72,1/27/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,10.8,11.6,46,129
72,2/14/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,10.1,12.6,61,134
72,2/17/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,5.1,NA,51,135
72,2/21/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,11.6,15.9,62,126
72,2/23/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,10.4,11.8,37,98
72,3/14/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,15.7,28.3,71,173
72,3/17/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,12.6,15.8,52,236
72,3/21/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,8.2,18.8,75,108
72,3/23/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,5.1,7.5,34,181
72,3/30/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,11.6,15.4,65,94
72,4/18/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,7.6,9.6,68,196
72,4/20/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,10.2,22.8,70,110
72,4/25/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,8.6,16.6,71,194
72,4/27/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,13.8,19.9,55,91
72,4/29/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,8.4,10,81,216
72,5/17/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,12.6,18.5,57,110
72,5/19/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,5.4,14.8,50,150
72,5/24/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,12.1,11.5,57,81
72,5/26/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,11.7,9.6,49,165
72,5/30/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,8.1,11.7,54,77
72,6/13/2005,Tamil Nadu,Chennai,Thiruvottiyur,Industrial Areas,14.5,14.3,28,75
