Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
71,1/2/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.4,26.6,133,205
71,1/5/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.1,19.3,67,217
71,1/9/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,5.8,24.2,64,154
71,1/12/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.4,29.5,115,261
71,1/16/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.4,27.2,65,143
71,1/23/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,4.9,24,140,283
71,1/30/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.3,28.1,81,184
71,2/13/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.4,21.9,50,162
71,2/20/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,6.3,17.5,79,183
71,2/23/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,5.1,23.5,78,158
71,2/27/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,3.6,15.3,89,211
71,3/16/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,5,27.1,132,251
71,3/20/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.1,32.1,78,201
71,3/23/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.2,26.1,61,152
71,3/27/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,6.5,28.4,71,127
71,3/30/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,10.1,24.1,52,116
71,4/13/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7.5,17.8,67,128
71,4/17/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,7,25.6,95,177
71,4/20/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.1,23,96,187
71,4/24/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.1,24.4,88,224
71,4/27/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.2,19,63,163
71,5/15/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,6.4,9.1,91,202
71,5/18/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,8.6,9.8,69,159
71,5/20/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13.8,14.9,63,179
71,5/25/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,13,12.9,73,170
71,5/29/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,14.4,14.3,101,192
71,6/15/2006,Tamil Nadu,Chennai,Govt. High School,Industrial Areas,9.1,9.7,68,127
