Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
6/4/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.8,38.2,15,40
6/7/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,7.4,33.6,28,38
6/11/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.8,26.1,17,27
14-06-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,6.5,25.7,13,34
18-06-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.1,26.3,18,51
21-06-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5,22.2,26,46
25-06-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.8,24.2,26,42
28-06-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,NA,NA,NA,NA
7/2/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.5,24.8,20,30
7/5/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,6.1,18.3,17,27
7/9/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.7,17.1,19,34
7/12/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.3,15.5,17,25
16-07-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.3,20.4,38,64
19-07-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.7,17.5,22,41
23-07-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,6.7,17.5,24,41
26-07-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.7,16.7,15,34
30-07-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.6,11.9,28,52
8/2/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.7,25.9,19,25
8/6/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,6.5,32.9,31,35
8/9/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5,37.3,20,39
13-08-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,7.9,24.6,23,51
16-08-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.3,29.1,26,37
20-08-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,7.4,23.4,15,32
23-08-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.9,25.6,19,54
30-08-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.5,12.9,19,30
9/3/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.3,19.6,23,50
9/6/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.8,15.3,17,41
9/10/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.6,16.6,44,60
13-09-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.2,17.2,21,50
17-09-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,13.1,17.9,17,51
20-09-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.6,17,10,41
24-09-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,14.7,20,33
27-09-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,NA,NA,NA,NA
10/1/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.5,14.9,24,72
10/4/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,29.3,26,54
10/8/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,22.9,27,73
10/11/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.5,18.8,62,98
15-10-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,37.1,52,62
18-10-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.1,22.2,65,78
22-10-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,NA,NA,NA,NA
25-10-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5,21.5,42,67
29-10-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,13,30,46
11/1/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,30.1,39,67
11/5/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.5,24.9,71,94
11/12/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.3,16.8,52,88
15-11-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,42,64,116
19-11-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,14.9,30.2,45,100
22-11-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.4,15.9,84,141
26-11-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,6.2,22.2,74,144
29-11-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5,22.4,64,114
12/3/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.9,20.6,36,103
12/6/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.6,18.2,53,91
12/10/2007,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.9,20,50,74
13-12-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,5.3,21.7,86,132
17-12-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.5,19.7,63,151
20-12-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.7,18.6,16,21
27-12-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4.6,32.6,64,102
31-12-07,Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and others,4,23.2,83,151
1/3/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.4,24.2,72,148
1/6/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.3,21.3,65,107
1/10/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.2,25.5,36,107
13-01-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.1,25.7,21,74
20-01-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,8.1,21.3,53,123
24-01-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.5,22.8,36,84
27-01-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.7,25.1,21,43
31-01-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.1,19.1,19,56
2/3/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.6,20.4,27,65
2/7/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.4,24.6,43,75
2/10/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.7,22.8,23,60
14-02-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.9,24.4,40,88
17-02-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11,20.5,25,86
21-02-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,7,19.2,43,124
24-02-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.9,69.5,NA,NA
28-02-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,8.4,17.8,49,108
3/3/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,7.5,22,73,128
3/7/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,14.1,27.1,54,108
3/10/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.7,25,55,93
14-03-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.4,20.7,40,93
17-03-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11,22,30,110
21-03-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.4,23.6,50,98
24-03-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,NA,NA,29,119
28-03-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.5,24.1,65,131
4/4/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.8,23.6,26,98
4/7/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13,23.9,29,133
4/11/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,NA,NA,47,122
18-04-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,8.7,18.9,35,86
21-04-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.2,22,51,70
25-04-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.6,24.1,33,91
28-04-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,14.1,25.1,37,93
5/5/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.3,24.1,47,114
5/9/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.3,24.4,25,79
5/12/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.1,22.8,81,121
16-05-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.3,20,22,72
19-05-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.5,20.8,20,72
23-05-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.2,24.7,33,103
26-05-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,NA,NA,NA,NA
30-05-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.1,23.8,38,65
6/2/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.7,21,22,72
6/6/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.2,23.7,16,57
6/9/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,7.6,17.6,35,74
13-06-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.9,25,45,82
16-06-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,8.8,16.9,NA,NA
20-06-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.8,26,22,66
23-06-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.9,24.7,30,95
27-06-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.6,25.1,38,99
30-06-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.9,25,25,117
7/4/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.4,23.7,54,99
7/7/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,7.8,22.8,49,94
7/11/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.1,20.7,36,116
14-07-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,14.4,25,50,133
18-07-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9,22.6,41,95
21-07-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.2,24.2,48,93
25-07-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.9,20.4,44,96
28-07-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.6,21.3,NA,NA
8/1/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.1,25.4,36,91
8/4/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.9,22,34,113
8/8/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.5,23.1,38,122
8/11/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,15.5,26,33,87
18-08-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.1,25.1,42,96
22-08-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.1,25.4,33,99
25-08-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.9,26.8,42,110
29-08-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,14,25.3,33,101
9/1/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,7.5,21,26,64
9/5/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,8.7,21.1,48,122
9/8/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.4,22.6,58,112
9/12/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.4,23.9,44,99
19-09-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.4,22.7,43,93
22-09-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13,24.4,NA,NA
26-09-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,14.6,25.9,45,72
29-09-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11,21.2,43,74
10/3/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.3,23.4,27,75
10/6/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,14,26.7,32,90
10/10/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.3,21.8,54,102
13-10-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.8,24.6,49,83
17-10-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,15.3,30.5,58,111
24-10-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.7,27.7,16,40
27-10-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.4,24.7,NA,NA
31-10-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.6,24.9,56,117
11/3/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,14.6,28.6,37,60
11/7/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.2,24.1,121,175
11/10/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,12.7,24.2,51,109
13-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.1,19.3,35,141
14-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11,23.9,46,111
16-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,8.6,21.7,24,78
17-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.5,23.6,63,115
20-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,9.7,21.3,45,163
21-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.3,25.3,39,73
24-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.5,26,NA,NA
28-11-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.9,25.9,42,71
12/1/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11.3,26.6,28,83
12/5/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13.4,28,47,71
12/8/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.2,23.8,37,56
12/12/2007,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,13,27.6,27,48
15-12-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.7,20.9,23,39
19-12-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.4,23.3,NA,NA
22-12-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,10.1,21.8,47,117
26-12-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,11,23.1,35,83
29-12-07,Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial Areas,8.1,19.7,36,99
1/4/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.6,17.8,54,138
1/8/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.6,16.7,38,100
1/11/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.1,17.5,22,85
18-01-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,6.9,22,45,122
22-01-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.3,21,47,114
25-01-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.3,24.9,56,113
29-01-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,11.1,19.3,41,120
2/1/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.8,17.3,37,115
2/5/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.6,17.5,66,132
2/8/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,10.7,17.6,84,127
2/12/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8,16.2,41,113
15-02-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.5,17.6,63,109
19-02-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.7,17.8,34,92
22-02-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.3,13.1,64,110
26-02-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.7,20,60,102
3/1/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.5,16.7,39,112
3/5/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.4,21.8,53,114
3/8/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.1,21.2,59,130
3/12/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.8,17.9,37,104
15-03-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.6,16.6,35,113
22-03-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.5,18.6,53,114
26-03-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.5,18.9,68,124
29-03-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,6.9,15.3,56,116
4/2/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.3,18.4,49,116
4/5/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.5,18.3,31,83
4/9/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.5,19.4,33,63
4/12/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.8,19.9,32,82
16-04-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.4,22.6,48,65
19-04-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.7,17.1,31,75
23-04-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.2,18.5,49,165
26-04-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.9,18.8,38,104
30-04-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.2,15.7,42,99
5/3/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.4,22.5,34,67
5/7/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8,17.1,46,108
5/10/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9,23.3,26,69
14-05-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.4,18.2,19,78
17-05-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.4,20.4,31,85
21-05-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,10.2,22.6,32,77
24-05-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,11.3,23,39,77
28-05-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.6,18.9,47,109
31-05-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.2,16.8,35,80
6/4/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.3,16.8,28,90
6/7/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.9,20.1,32,44
6/11/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.6,20.6,44,68
14-06-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.6,19.2,54,81
18-06-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.8,21.2,34,72
21-06-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.1,18.6,22,60
25-06-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.5,19.7,31,84
28-06-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.7,18.4,27,64
7/2/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.7,22,57,121
7/5/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8,22.8,32,110
7/9/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.4,19.4,45,93
7/12/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,6.8,16.5,46,110
16-07-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,6.1,17.5,29,85
19-07-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.1,20.4,36,95
23-07-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.9,19.9,26,102
26-07-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.5,19.2,60,96
30-07-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.1,20.5,30,78
8/2/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.5,22.1,33,118
8/4/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,11.9,22,34,113
8/6/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.8,22.1,34,109
8/9/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8,24.1,31,90
13-08-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.3,22.6,28,72
16-08-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.8,21,35,75
20-08-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.5,22.5,29,84
23-08-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.1,20.5,25,77
27-08-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.3,22.5,30,76
30-08-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.7,23.8,30,63
9/3/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.7,19.9,43,85
9/6/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.7,19.9,49,92
9/10/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.2,21,51,99
13-09-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.9,19.9,52,91
17-09-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.7,19.8,31,80
20-09-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8,20.1,41,89
24-09-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.6,19.6,35,108
27-09-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.6,18.7,36,70
10/1/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.1,22.9,54,96
10/4/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.9,22.3,40,81
10/8/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.3,19.6,51,107
10/11/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.2,23.1,52,96
15-10-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.3,83.7,NA,NA
18-10-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,10,29.9,67,101
22-10-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.1,23.9,33,80
25-10-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.1,21.6,40,75
29-10-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,10.5,24.6,38,65
11/1/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.4,21,38,95
11/5/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.2,21.5,51,84
11/12/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.8,18.6,43,114
15-11-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.2,19.6,57,109
19-11-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.6,20.5,31,111
22-11-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,10.2,19.4,49,95
26-11-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.8,22.8,45,76
29-11-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8,24.1,52,81
12/3/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,9.6,22.8,31,65
12/6/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.8,21.7,43,69
12/10/2007,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.5,21,41,61
13-12-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.8,19.9,32,62
17-12-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.3,17.2,37,54
20-12-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,NA,NA,NA,NA
24-12-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,7.5,16.5,36,90
27-12-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.2,18.4,23,74
31-12-07,Tamil Nadu,Madurai,Highway Bldg.,Residential and others,8.2,22.1,19,86
1/2/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.9,16.1,25,64
1/5/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.2,16,30,58
1/9/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.8,17.6,20,31
1/12/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.1,19.7,21,59
19-01-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.4,18.9,28,69
23-01-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.8,18.7,37,53
2/2/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.4,16.2,61,96
2/6/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.2,16.8,32,77
2/9/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.9,16.3,31,82
13-02-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.3,16,20,63
16-02-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.4,20.2,73,138
20-02-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.2,18.6,111,171
23-02-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,6.9,19.6,69,149
27-02-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.7,20.5,38,118
3/2/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.2,21.2,49,118
3/6/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.1,19.9,69,123
3/9/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.5,20.5,82,122
13-03-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.1,16.4,54,106
